tagLocation=Achalesas' Domain ^r(Eternal Resurrected Version 0.990)
tagLocation2=Forgotten Garden ^r(Eternal SE Version 0.980)
tagLocation3=Precipice of Lunacy ^r(Eternal (Grimarillion Edition))
tagLocation4=Eternal Corridor ^r(Eternal (Grimarillion Edition))
tagLocation5=Destroyed House Remains ^r(Eternal (Grimarillion Edition))
tagArenaRift1=Rift to Achalesa's Domain
tagArenaRift2=Rift to Precipice of Lunacy
tag_RiftgateEternal=Eternal Rift
tagWave1=Wave 1 has been spawned!
tagWave2=Wave 2 has been spawned!
tagWave3=Wave 3 has been spawned!
tagWave4=Wave 4 has been spawned!
tagWave5=Wave 5 has been spawned!
tagWave6=Wave 6 has been spawned!
tagWave7=Wave 7 has been spawned!
tagWave8=Wave 8 has been spawned!
tagWave9=Wave 9 has been spawned!
tagWave10=Wave 10 has been spawned!
tagWave11=Wave 11 has been spawned!
tagWave12=Wave 12 has been spawned!
tagWave13=Wave 13 has been spawned!
tagWave14=Wave 14 has been spawned!
tagWave15=Wave 15 has been spawned!
tagWave16=Wave 16 has been spawned!
tagWave17=Wave 17 has been spawned!
tagWave18=Wave 18 has been spawned!
tagWave19=Wave 19 has been spawned!
tagWave20=Wave 20 has been spawned!
tagWave21=Wave 21 has been spawned!
tagWave22=Wave 22 has been spawned!
tagWave23=Wave 23 has been spawned!
tagWave24=Wave 24 has been spawned!
tagWave25=Wave 25 has been spawned!
tagWave26=Wave 26 has been spawned!
tagWave27=Wave 27 has been spawned!
tagWave28=Wave 28 has been spawned!
tagWave29=Wave 29 has been spawned!
tagWave30=Wave 30 has been spawned!
tagWave31=Wave 31 has been spawned!
tagWave32=Wave 32 has been spawned!
tagWave33=Wave 33 has been spawned!
tagWave34=Wave 34 has been spawned!
tagWave35=Wave 35 has been spawned!
tagWave36=Wave 36 has been spawned!
tagWave37=Wave 37 has been spawned!
tagWave38=Wave 38 has been spawned!
tagWave39=Wave 39 has been spawned!
tagWave40=Wave 40 has been spawned!
tagWave41=Wave 41 has been spawned!
tagWave42=Wave 42 has been spawned!
tagWave43=Wave 43 has been spawned!
tagWave44=Wave 44 has been spawned!
tagWave45=Wave 45 has been spawned!
tagWave46=Wave 46 has been spawned!
tagWave47=Wave 47 has been spawned!
tagWave48=Wave 48 has been spawned!
tagWave49=Wave 49 has been spawned!
tagWave50=Wave 50 has been spawned!
tagWave51=Wave 51 has been spawned!
tagWave52=Wave 52 has been spawned!
tagWave53=Wave 53 has been spawned!
tagWave54=Wave 54 has been spawned!
tagWave55=Wave 55 has been spawned!
tagWave56=Wave 56 has been spawned!
tagWave57=Wave 57 has been spawned!
tagWave58=Wave 58 has been spawned!
tagWave59=Wave 59 has been spawned!
tagWave60=Wave 60 has been spawned!
tagWave61=Wave 61 has been spawned!
tagWave62=Wave 62 has been spawned!
tagWave63=Wave 63 has been spawned!
tagWave64=Wave 64 has been spawned!
tagWave65=Wave 65 has been spawned!
tagWave66=Wave 66 has been spawned!
tagWave67=Wave 67 has been spawned!
tagWave68=Wave 68 has been spawned!
tagWave69=Wave 69 has been spawned!
tagWave70=Wave 70 has been spawned!
tagWave71=Wave 71 has been spawned!
tagWave72=Wave 72 has been spawned!
tagWave73=Wave 73 has been spawned!
tagWave74=Wave 74 has been spawned!
tagWave75=Wave 75 has been spawned!
tagWaveToSpawn1=Wave 1 will be spawned!
tagWaveToSpawn2=Wave 2 will be spawned!
tagWaveToSpawn3=Wave 3 will be spawned!
tagWaveToSpawn4=Wave 4 will be spawned!
tagWaveToSpawn5=Wave 5 will be spawned!
tagWaveToSpawn6=Wave 6 will be spawned!
tagWaveToSpawn7=Wave 7 will be spawned!
tagWaveToSpawn8=Wave 8 will be spawned!
tagWaveToSpawn9=Wave 9 will be spawned!
tagWaveToSpawn10=Wave 10 will be spawned!
tagWaveToSpawn11=Wave 11 will be spawned!
tagWaveToSpawn12=Wave 12 will be spawned!
tagWaveToSpawn13=Wave 13 will be spawned!
tagWaveToSpawn14=Wave 14 will be spawned!
tagWaveToSpawn15=Wave 15 will be spawned!
tagWaveToSpawn16=Wave 16 will be spawned!
tagWaveToSpawn17=Wave 17 will be spawned!
tagWaveToSpawn18=Wave 18 will be spawned!
tagWaveToSpawn19=Wave 19 will be spawned!
tagWaveToSpawn20=Wave 20 will be spawned!
tagWaveToSpawn21=Wave 21 will be spawned!
tagWaveToSpawn22=Wave 22 will be spawned!
tagWaveToSpawn23=Wave 23 will be spawned!
tagWaveToSpawn24=Wave 24 will be spawned!
tagWaveToSpawn25=Wave 25 will be spawned!
tagWaveToSpawn26=Wave 26 will be spawned!
tagWaveToSpawn27=Wave 27 will be spawned!
tagWaveToSpawn28=Wave 28 will be spawned!
tagWaveToSpawn29=Wave 29 will be spawned!
tagWaveToSpawn30=Wave 30 will be spawned!
tagWaveToSpawn31=Wave 31 will be spawned!
tagWaveToSpawn32=Wave 32 will be spawned!
tagWaveToSpawn33=Wave 33 will be spawned!
tagWaveToSpawn34=Wave 34 will be spawned!
tagWaveToSpawn35=Wave 35 will be spawned!
tagWaveToSpawn36=Wave 36 will be spawned!
tagWaveToSpawn37=Wave 37 will be spawned!
tagWaveToSpawn38=Wave 38 will be spawned!
tagWaveToSpawn39=Wave 39 will be spawned!
tagWaveToSpawn40=Wave 40 will be spawned!
tagWaveToSpawn41=Wave 41 will be spawned!
tagWaveToSpawn42=Wave 42 will be spawned!
tagWaveToSpawn43=Wave 43 will be spawned!
tagWaveToSpawn44=Wave 44 will be spawned!
tagWaveToSpawn45=Wave 45 will be spawned!
