tagLocation=阿卡莱萨的领地 ^r（永恒复生版本 0.990）
tagLocation2=被遗忘的花园 ^r（永恒 SE 版本 0.980）
tagLocation3=疯狂悬崖 ^r（永恒（Grimarillion 版））
tagLocation4=永恒走廊 ^r（永恒（Grimarillion 版））
tagLocation5=毁坏房屋遗迹 ^r（永恒（Grimarillion 版））
tagArenaRift1=通往阿卡莱萨的裂隙
tagArenaRift2=通往疯狂悬崖的裂隙
tag_RiftgateEternal=永恒裂隙

tagWave1=第 1 波已生成！
tagWave2=第 2 波已生成！
tagWave3=第 3 波已生成！
tagWave4=第 4 波已生成！
tagWave5=第 5 波已生成！
tagWave6=第 6 波已生成！
tagWave7=第 7 波已生成！
tagWave8=第 8 波已生成！
tagWave9=第 9 波已生成！
tagWave10=第 10 波已生成！
tagWave11=第 11 波已生成！
tagWave12=第 12 波已生成！
tagWave13=第 13 波已生成！
tagWave14=第 14 波已生成！
tagWave15=第 15 波已生成！
tagWave16=第 16 波已生成！
tagWave17=第 17 波已生成！
tagWave18=第 18 波已生成！
tagWave19=第 19 波已生成！
tagWave20=第 20 波已生成！
tagWave21=第 21 波已生成！
tagWave22=第 22 波已生成！
tagWave23=第 23 波已生成！
tagWave24=第 24 波已生成！
tagWave25=第 25 波已生成！
tagWave26=第 26 波已生成！
tagWave27=第 27 波已生成！
tagWave28=第 28 波已生成！
tagWave29=第 29 波已生成！
tagWave30=第 30 波已生成！
tagWave31=第 31 波已生成！
tagWave32=第 32 波已生成！
tagWave33=第 33 波已生成！
tagWave34=第 34 波已生成！
tagWave35=第 35 波已生成！
tagWave36=第 36 波已生成！
tagWave37=第 37 波已生成！
tagWave38=第 38 波已生成！
tagWave39=第 39 波已生成！
tagWave40=第 40 波已生成！
tagWave41=第 41 波已生成！
tagWave42=第 42 波已生成！
tagWave43=第 43 波已生成！
tagWave44=第 44 波已生成！
tagWave45=第 45 波已生成！
tagWave46=第 46 波已生成！
tagWave47=第 47 波已生成！
tagWave48=第 48 波已生成！
tagWave49=第 49 波已生成！
